groupName,name,source_allowed_domains,source_start_urls,source_allowFollow,source_denyFollow,source_allowParse,source_denyParse,lastUpdate,parseCount
test3,steenandco.co.uk,steenandco.co.uk,http://www.steenandco.co.uk/resources-_30/,,,steenandco.co.uk,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,rpc.co.uk,rpc.co.uk,http://www.rpc.co.uk/index.php?option=com_easyblog&Itemid=106,,,rpc.co.uk,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,kslr.org.uk,kslr.org.uk,http://www.kslr.org.uk/blogs/commercial/,,,kslr.org.uk,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,corrs.com.au,corrs.com.au,http://www.corrs.com.au/publications/,,,corrs.com.au,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,bankside.co.nz,bankside.co.nz,http://www.bankside.co.nz/Latest/tabid/87/cat/29/title/cases/Default.aspx,,,bankside.co.nz,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,bakerbotts.com,bakerbotts.com,http://www.bakerbotts.com/infocenter/publications/,,,bakerbotts.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,chadbourne.com,chadbourne.com,http://www.chadbourne.com/publications/List.aspx?PublicationTypes=53708642-1c0c-4f95-b394-01bef6601b4b,,,chadbourne.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,nortonrosefulbright.com,nortonrosefulbright.com,http://www.nortonrosefulbright.com/hk/knowledge/publications/;http://www.nortonrosefulbright.com/in/knowledge/publications/,,,nortonrosefulbright.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,jonesdays.com,jonesdays.com,http://www.jonesday.com/newsknowledge/publicationresults.aspx?type=27,,,jonesdays.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,minterellison.com,minterellison.com,http://www.minterellison.com/publications/?DateFrom=01/10/2013,,,minterellison.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,oln-law.com,oln-law.com,http://www.oln-law.com/en/pz/itemlist/category/20-dispute-resolution.html,,,oln-law.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,pinsentmasons.com,pinsentmasons.com,http://www.pinsentmasons.com/en/media/case-studies/;http://www.pinsentmasons.com/en/media/publications/;http://www.pinsentmasons.com/en/media/legal-updates/;http://www.pinsentmasons.com/en/media/published-articles/,,,pinsentmasons.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,out-law.com,out-law.com,http://www.out-law.com/page-350,,,out-law.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,velaw.com,velaw.com,http://www.velaw.com/resources/pubs.aspx,,,velaw.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,orrick.com,orrick.com,http://www.orrick.com/Events-and-Publications/Pages/default.aspx?SearchType=Publications,,,orrick.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,ensafrica.com,ensafrica.com,http://www.ensafrica.com/news,,,ensafrica.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,fasken.com,fasken.com,http://www.fasken.com/en/publications/,,,fasken.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,blg.com,blg.com,http://www.blg.com/en/newsandpublications,,,blg.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,justia.com,justia.com,http://verdict.justia.com/,,,justia.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,bellgully.co.nz,bellgully.co.nz,http://www.bellgully.co.nz/resources/index.asp,,,bellgully.co.nz,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,russellmcveagh.com,russellmcveagh.com,http://www.russellmcveagh.com/Publications/tabid/170/Default.aspx,,,russellmcveagh.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,simpsongrierson.com,simpsongrierson.com,http://www.simpsongrierson.com/publications/news-alerts/,,,simpsongrierson.com,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,hsf-arbitrationnotes,hsf-arbitrationnotes.com,http://hsfnotes.com/arbitration/,,,hsfnotes.com/arbitration/,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
test3,hsf-litigationnotes.com,hsf-litigationnotes.com,http://hsfnotes.com/litigation/,,,hsfnotes.com/litigation/,.pdf;about-us;about_us;management;person_profile;person-profile;profile;our_people;ourpeople;our-people;contact-us;contact_us;contactus;sitemap;site-map;career,,
